MS_grad,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6
-8.528570623,0.29026264,0.26168001,0.69463181,0.23615462,0.40847114,0.38736272
-6.008018091,0.29671678,0.27035466,0.71555132,0.25126821,0.531048,0.54020196
-11.30705108,0.24597953,0.13361832,0.55438197,0.40116811,0.33544686,0.44968253
-10.1867721,0.24331833,0.16578022,0.52596396,0.32121468,0.36671671,0.45481881
-11.00073145,0.25248083,0.19385381,0.63583028,0.30855411,0.45036852,0.53748256
-11.68890266,0.27723077,0.23068286,0.64823294,0.22060779,0.41611239,0.41052383
-1.036556702,0.27284005,0.24079132,0.70388538,0.24167913,0.4820303,0.46209976
-6.800118605,0.23318031,0.1943416,0.61145335,0.18649656,0.44817221,0.46105909
-10.53273552,0.2582975,0.22013655,0.67755663,0.18935782,0.40178701,0.45036662
-11.47800903,0.29926246,0.23179521,0.62528741,0.25185341,0.32920924,0.34586865
-1.744143699,0.2435628,0.2223013,0.71907133,0.20397274,0.61895853,0.61269122
-2.454124155,0.2351383,0.23457581,0.72457618,0.22275744,0.54369807,0.53819573
-5.71303141,0.22401363,0.23189399,0.71454638,0.22509159,0.5099684,0.49187258
-9.577346448,0.19442424,0.17610347,0.54994023,0.1743888,0.45737588,0.48118794
-10.62209826,0.21112098,0.20295314,0.54139262,0.24257636,0.42127365,0.41748345
-10.89781695,0.19780768,0.14324971,0.50280529,0.32206869,0.33294484,0.41226953
-10.02145752,0.2283957,0.18999627,0.61022747,0.16715002,0.41281024,0.52577734
